Start,End,Distance
4000,4014,65.64
4000,4015,45.54
4000,4016,40.4
4000,4018,119.92
4000,4021,70.36
4000,4027,28.05
4000,4032,77.5
4000,4033,39.58
4000,4034,60.34
4000,4035,110.81
4000,4045,57.29
4000,4048,94.21
4000,4059,101.27
4000,4064,
4000,4071,28.91
4000,4077,64.71
4000,4087,12.0
4000,4088,101.51
4000,4105,21.77
4000,4114,107.98
4000,4116,66.03
4000,4126,77.47
4000,4139,154.54
4000,4142,84.05
4000,4144,48.34
4000,4152,13.99
4000,4164,5.58
4000,4168,87.74
4000,4176,111.79
4000,4179,36.03
4000,4191,112.07
4000,4196,42.86
4000,4207,70.09
4000,4211,66.47
4000,4212,69.04
4000,4221,66.23
4000,4222,98.15
4000,4228,61.78
4000,4232,17.95
4000,4234,103.22
4000,4248,149.86
4000,4250,149.14
4000,4252,9.58
4000,4253,35.29
4000,4258,43.7
4000,4259,45.01
4000,4273,34.37
4000,4274,111.63
4000,4303,43.04
4000,4316,106.33
4000,4324,124.8
4000,4327,44.46
4000,4330,143.01
4000,4332,43.63
4000,4339,72.31
4000,4361,70.36
4000,4374,43.13
4000,4377,
4000,4379,73.01
4000,4381,123.72
4000,4385,95.39
4000,4389,61.96
4000,4400,48.61
4000,4414,64.94
4000,4415,24.0
4000,4418,74.22
4000,4422,125.32
4000,4426,30.5
4000,4432,12.24
4000,4433,117.92
4000,4438,35.93
4000,4443,41.83
4000,4467,119.72
4000,4472,150.04
4000,4480,136.35
4000,4482,84.04
4000,4495,71.72
4000,4496,62.7
4000,4498,74.05
4000,4501,134.28
4000,4512,152.62
4000,4519,75.84
4000,4536,133.58
4000,4545,
4000,4550,37.6
4000,4568,72.76
4000,4601,30.27
4000,4603,101.46
4000,4617,7.76
4000,4622,149.7
4000,4624,
4000,4625,87.0
4000,4631,137.52
4000,4644,
4000,4652,97.59
4000,4681,110.93
4000,4686,103.61
4000,4696,88.59
4000,4716,39.34
4000,4717,107.3
4000,4721,30.19
4000,4732,33.42
4000,4740,31.68
4000,4759,31.55
4000,4765,83.52
4000,4769,81.86
4000,4771,126.19
4000,4772,80.28
4000,4805,65.94
4000,4806,53.3
4000,4809,145.19
4000,4817,92.23
4000,4832,1.75
4000,4850,129.69
4000,4852,41.76
4000,4853,56.98
4000,4863,11.35
4000,4878,104.33
4000,4888,83.93
4000,4889,95.45
4000,4910,140.37
4000,4915,48.25
4000,4919,77.59
4000,4925,42.93
4000,4931,135.43
4000,4942,107.75
4000,4946,39.32
4000,4953,37.84
4000,4963,45.66
4000,4964,100.29
4000,4968,72.48
4000,4969,97.42
4000,4970,138.72
4000,4996,96.29
4000,5005,80.04
4000,5033,109.77
4000,5039,8.92
4000,5049,183.56
4000,5050,42.11
4000,5051,94.18
4000,5054,158.56
4000,5067,52.82
4000,5076,5.58
4000,5086,132.93
4000,5087,26.13
4000,5095,109.81
4000,5096,114.01
4000,5105,152.33
4000,5106,69.73
4000,5111,80.07
4000,5118,89.36
4000,5120,111.0
4000,5125,62.41
4000,5137,67.7
4000,5140,65.42
4000,5143,79.21
4000,5155,118.11
4000,5162,47.26
