StringID,Type,Latitude,Longitude
1,d,51.52414,7.55916
4000,c,51.5210854,7.5220666
4001,c,51.3593895,7.4640184
4002,c,51.4935106,7.5504195
4006,c,51.7825135,6.1306632
4008,c,51.4929586,7.2508518
4010,c,51.4822442,7.1309711
4011,c,51.9079089,8.653023
4012,c,50.7454524,8.0794883
4014,c,51.4021407,6.7621643
4015,c,51.53091,7.02401
4016,c,51.68087,7.8127
4018,c,51.6732347,6.1603948
4021,c,51.4501451,6.6397216
4027,c,51.3639342,7.5841229
4032,c,51.9789746,7.7832591
4033,c,51.5567414,7.0951121
4034,c,51.5162792,6.8501923
4035,c,52.2771421,7.7176245
4045,c,51.7268397,7.0273672
4048,c,50.9483678,6.9197555
4059,c,51.7180764,8.7495235
4064,c,51.6645925,7.7846773
4071,c,51.6405749,7.2595857
4077,c,51.48999,6.76909
4087,c,51.4400693,7.5681389
4088,c,51.2531887,6.3935679
4105,c,51.6209082,7.638391
4114,c,51.2516107,6.3275499
4116,c,51.4956298,6.8013491
4126,c,51.217183,6.7765489
4139,c,50.82209,6.1297
4142,c,51.5038754,6.5465509
4144,c,51.5609669,8.0802458
4152,c,51.59848,7.4381348
4164,c,51.5340175,7.492579
4168,c,51.1251478,7.9039609
4176,c,51.0885937,6.5942704
4179,c,51.696999,7.7618
4191,c,50.82095,6.97677
4196,c,51.2749414,7.2182029
4207,c,51.5281044,6.7431717
4211,c,51.5621247,6.734615
4212,c,51.16306,6.99829
4221,c,51.5022986,6.7578012
4222,c,50.8814851,7.080294
4228,c,51.33432,6.83201
4232,c,51.5700026,7.3824795
4234,c,50.9072956,8.0141447
4248,c,50.9945374,5.9854249
4250,c,50.8716647,6.1592404
4252,c,51.5888823,7.5242588
4253,c,51.4145926,7.8310513
4258,c,51.44131,6.99127
4259,c,51.460615,6.9793988
4273,c,51.320727,7.3389168
4274,c,52.0681554,7.0095607
4303,c,51.6631174,7.1307512
4316,c,52.20753,7.18877
4324,c,51.0750428,6.3072543
4327,c,51.5386523,7.0260664
4330,c,50.81819,6.2707
4332,c,51.2849841,7.2924937
4339,c,51.2245437,6.863317
4361,c,51.2625202,6.8113444
4374,c,51.6561383,7.0865057
4377,c,51.3412016,6.5565723
4379,c,51.203631,6.8348702
4381,c,50.6825447,7.1517939
4385,c,50.95977,6.95421
4389,c,51.2019408,7.3598246
4400,c,51.5741216,6.9942308
4414,c,51.20742,6.9554
4415,c,51.5851869,7.3147292
4418,c,51.983144,7.6341425
4422,c,51.4890846,9.1474216
4426,c,51.43737,7.33029
4432,c,51.4765177,7.4323627
4433,c,51.460292,8.8559272
4438,c,51.5529198,7.914116
4443,c,51.60461,7.08582
4467,c,51.989424,8.8022078
4472,c,50.90872,6.17993
4480,c,52.2020116,8.5764899
4482,c,51.3236144,6.6035997
4495,c,51.2353327,6.7901576
4496,c,51.1705488,7.0922604
4498,c,51.2157334,6.8034462
4501,c,51.05031,6.21482
4512,c,51.0586927,5.9966948
4519,c,51.03496,7.0513
4536,c,50.6248,7.03864
4545,c,51.40984,6.71646
4550,c,51.3001092,7.3613429
4568,c,51.226547,6.7997646
4601,c,51.3407428,7.3991295
4603,c,51.1032897,8.071935
4617,c,51.5579627,7.5463692
4622,c,50.7735032,6.2259234
4624,c,51.3412349,7.0425985
4625,c,50.962759,7.0054377
4631,c,52.2006488,8.7291771
4644,c,50.9323838,6.5705688
4652,c,50.9336403,7.0189199
4681,c,52.02808,8.52834
4686,c,50.90891,6.94082
4696,c,51.3330983,6.5643578
4716,c,51.511102,7.0940037
4717,c,50.872517,6.8887127
4721,c,51.5777757,7.213058
4732,c,51.5312714,7.1599726
4740,c,51.3376396,7.4263246
4759,c,51.543218,7.2202207
4765,c,51.03017,6.98303
4769,c,51.0665904,7.0042561
4771,c,51.7957737,6.1504598
4772,c,51.6393091,8.5094781
4805,c,51.9544427,7.6261252
4806,c,51.39601,8.06994
4809,c,50.9783937,6.0989408
4817,c,50.9376496,7.0024483
4832,c,51.5232056,7.5443917
4850,c,50.825302,6.4593889
4852,c,51.38511,7.76787
4853,c,51.18031,7.19291
4863,c,51.5073044,7.6229963
4878,c,51.98784,8.51376
4888,c,51.0903227,6.8893697
4889,c,50.8964419,7.064131
4910,c,51.0635376,6.0938829
4915,c,51.2579073,7.1497022
4919,c,51.23016,6.7091827
4925,c,51.6813704,7.9085254
4931,c,51.1016159,6.1829495
4942,c,50.9343702,6.6997132
4946,c,51.6126358,7.1178557
4953,c,51.5011873,7.9622
4963,c,51.271011,7.1971431
4964,c,51.51668,6.32386
4968,c,51.3933987,6.7077408
4969,c,51.95515,7.00819
4970,c,50.9535301,6.6390384
4996,c,50.9607151,7.9933768
